40,24,226,0,
40,24,227,0,
40,24,228,0,
40,23,230,0,
40,23,230,0,
40,24,229,0,
40,24,227,0,
40,25,225,0,
40,25,223,0,
40,26,220,0,
40,26,218,0,
40,27,215,0,
40,28,213,0,
40,28,211,0,
40,29,209,0,
40,29,208,0,
40,29,206,0,
40,30,205,0,
40,30,203,0,
40,30,203,35,
40,30,202,35,
40,31,201,35,
40,31,200,35,
40,31,199,35,
40,32,197,39,
40,32,194,39,
40,33,191,39,
40,34,187,39,
40,35,184,39,
40,36,180,36,
40,37,176,36,
40,38,173,36,
40,39,169,36,
40,40,165,36,
40,40,163,29,
40,41,161,29,
40,41,158,29,
40,42,155,29,
40,42,154,29,
40,43,152,21,
40,43,150,21,
40,44,149,21,
40,44,148,21,
40,44,148,21,
40,44,148,16,
40,44,148,16,
40,44,149,16,
40,43,150,16,
40,43,151,16,
40,43,153,16,
40,42,154,16,
40,42,157,16,
40,41,159,16,
40,41,160,16,
40,40,162,24,
40,40,164,24,
40,39,166,24,
40,39,167,24,
40,39,169,24,
40,38,170,31,
40,38,171,31,
40,38,172,31,
40,38,172,31,
40,38,172,31,
40,38,172,34,
40,38,171,34,
40,38,170,34,
40,39,169,34,
40,39,167,34,
40,40,165,34,
40,40,164,34,
40,40,162,34,
40,41,160,34,
40,41,158,34,
40,42,157,26,
40,42,155,26,
40,42,154,26,
40,43,153,26,
40,43,152,26,
40,43,151,22,
40,43,150,22,
40,43,150,22,
40,43,150,22,
40,44,150,22,
40,43,150,20,
40,43,150,20,
40,43,151,20,
40,43,151,20,
40,43,152,20,
40,43,153,18,
40,42,154,18,
40,42,155,18,
40,42,156,18,
40,42,157,18,
40,41,158,22,
40,41,159,22,
40,41,161,22,
40,40,162,22,
40,40,163,22,
40,40,164,24,
40,40,165,24,
40,39,166,24,
40,39,167,24,
40,39,168,24,
40,39,168,27,
40,39,169,27,
40,39,169,27,
40,38,170,27,
40,38,170,27,
40,38,170,32,
40,38,170,32,
40,38,170,32,
40,39,169,32,
40,39,169,32,
40,39,168,32,
40,39,167,32,
40,39,166,32,
40,40,164,32,
40,40,163,32,
40,40,162,31,
40,41,160,31,
40,41,159,31,
40,41,158,31,
40,42,157,31,
40,42,156,25,
40,42,155,25,
40,42,155,25,
40,42,154,25,
40,43,153,25,
40,43,153,20,
40,43,153,20,
40,43,153,20,
40,43,153,20,
40,43,153,20,
40,42,154,18,
40,42,154,18,
40,42,155,18,
40,42,156,18,
40,42,157,18,
40,41,158,21,
40,41,159,21,
40,41,161,21,
40,40,162,21,
40,40,163,21,
40,40,163,23,
40,40,164,23,
40,40,165,23,
40,39,166,23,
40,39,167,23,
40,39,167,26,
40,39,168,26,
40,39,169,26,
40,39,169,26,
40,38,170,26,
40,38,170,30,
40,38,170,30,
40,38,170,30,
40,38,170,30,
40,38,169,30,
40,39,169,29,
40,39,168,29,
40,39,167,29,
40,39,166,29,
40,40,165,29,
40,40,164,27,
40,40,163,27,
40,40,162,27,
40,41,161,27,
40,41,160,27,
40,41,159,24,
40,41,158,24,
40,42,158,24,
40,42,157,24,
40,42,156,24,
40,42,156,20,
40,42,156,20,
40,42,155,20,
40,42,155,20,
40,42,155,20,
40,42,155,18,
40,42,156,18,
40,42,156,18,
40,42,157,18,
40,41,158,18,
40,41,159,19,
40,41,160,19,
40,41,160,19,
40,40,162,19,
40,40,163,19,
40,40,163,21,
40,40,164,21,
40,40,165,21,
40,39,165,21,
40,39,166,21,
40,39,167,24,
40,39,167,24,
40,39,168,24,
40,39,168,24,
40,39,169,24,
40,39,169,24,
40,39,169,24,
40,39,169,24,
40,39,169,24,
40,38,170,24,
40,38,170,28,
40,38,170,28,
40,38,170,28,
40,38,170,28,
40,38,171,28,
40,38,170,30,
40,38,170,30,
40,38,170,30,
40,39,169,30,
